Vivado Simulator 2018.3
Time resolution is 1 ps
>>> Cargando memoria desde archivo tb.mem ...
ADDR=0 DATA_OUT=df000001
ADDR=4 DATA_OUT=6f000008
ADDR=8 DATA_OUT=13050040
ADDR=12 DATA_OUT=9305e040
ADDR=16 DATA_OUT=b3060000
ADDR=20 DATA_OUT=6308b504
ADDR=24 DATA_OUT=13061500
ADDR=28 DATA_OUT=030e0500
ADDR=32 DATA_OUT=830e0600
ADDR=36 DATA_OUT=63d0ce03
ADDR=40 DATA_OUT=2300c601
ADDR=44 DATA_OUT=2300d501
ADDR=48 DATA_OUT=93861500
ADDR=52 DATA_OUT=13051500
ADDR=56 DATA_OUT=6ff09ffb
ADDR=60 DATA_OUT=e39d06f8
ADDR=64 DATA_OUT=67800000
$finish called at time : 170 ns : File "C:/Users/Usuario/parafabian/Risc-V-Memory/Risc-V-Memory.srcs/sim_1/new/estimulos_memory.v" Line 41
